DR edge at UF,,
,,
91: UF/UR,92: UF/FR,93: UF/DR
(U) R U' R2 U' R U R U' R U R',(U) S R2' S' R2,(U) R U' D' R U' R' U D R'
(U2) R U R F R' U R U' F' R2',(U') R2' S R2 S',(U') S' U2 R U' R' f R' F' R
(U) R U' R U' R' U R' D' R U' R' D,(U') S' U2 S,(U2) R U' R' U' R' U' R U R
,R' U' R U R U R U' R',
,(U') R U R2 U' R2 U R,
DR edge at UL,,
,,
94: UL/UR,,
R' F' R U R U' R' f R2 S' R2,,
(U') R U' R' U R' U' R' U R2 U R',,
(U2) R U2 R' U R D' R U' R' D R',,
DR edge at UR,,
,,
95: UR/UF,,
 (U') S' R U R' U' F' U' f,,
R' U' R2 U' R' U R' U' R U2 R2 U' R',,
(U2) R U R' U2 R D' R U' R' D R',,
DR edge at FR,,
,,
96: FR/UF,97: FR/DR,
(U2) R U' D' R U R' U D R' ,R U' R' U' R U' R2 U' R U R,
(U) R D' R U R' U R U' R' D R' ,R U' R' U R U R' U R' U' R U R,
(U) R' U' R' U R U R U R',,
(U2) F' R U R' U' R' F R S' U2' S,,
DR edge at DR,,
,,
98: DR/UF,,
(U') R' F' R U R U' R' F,,
(U2) F' R U R' U' R' F R,,
(U) R' U' R' U' R U R U R,,
R U' R' U R' D' R U' R' D R,,
(U2) R U' R' U2 R U' R' U' R U R',,
