DR edge at UF,,
,,
108: UF/UR,109: UF/DR,110: UF/FR
R U' R2 U' R' U R,R U R2 U2 R U2 R,R U' R' F' R U R U' R' F R'
,,R' U' R' U' R U R' U' R U2 R
,,R U' R2 D' R2 U R U' R2 D
DR edge at UL,,
,,
111: UL/UR,,
R U' R2 U' R U R2 U' R',,
R' U' R2' U' R U2' R,,
(U') R U D' R U2 R' D R',,
DR edge at UR,,
,,
112: UR/UF,,
(U) R' U' R U R2 U' R' U2 R U R',,
(U') R U' R' U R U' R' S R2' S' R2,,
(U') R U' R' U2 R' U2 R2 U2 R,,
(U) R U R' U R U R2' U' R' U R,,
DR edge at FR,,
,,
113: FR/UF,114: FR/DR,
(U') R U' R' U R' U' R2 U R,R U R' U' R U' R' U R' U' R U R,
,R' U' R' U R2 U2 R' U2 R U' R',
,,
DR edge at DR,,
,,
115: DR/UF,116: DR/FR,
(U') R U' R' U R U' R',R U' R' U' R U R' U2 R U' R',
,R U R' U' R U2 R' U' R U R',
