DR edge at UF,,
,,
99: UF/UR,100: UF/DR,101: UF/FR
(U) R' U2' R' U R2 U R,(U') R U2 R' U R' U' R U R,R' U' R U R U' R U' R' U R U R'
(U) R' U' R U R U' R' U' R U R,,(U2) R F' R U R' U' R' F R U R'
,,R2 U' R' U2 R' D' R U2 R' D
DR edge at UL,,
,,
102: UL/UR,,
(U') R' U' R U R2 U R',,
,,
,,
DR edge at UR,,
,,
103: UR/UF,,
(U2) R' U2 R U2 R2 U R',,
,,
,,
DR edge at FR,,
,,
104: FR/UF,105: FR/DR,
R' U2 R' U2 R2 U' R',R U2 R' U R U2 R2 U' R U R,
,R U2 R' U R D' R U R' U' D R' ,
,y r' F r U' R' F r U' M ,
DR edge at DR,,
,,
106: DR/UF,107: DR/FR,
R U R' U' R U R',R U' R' U R U2 R' U R U' R',
(U') R U2 R' U2 R U R',,
