DR edge at UF,,,,
,,,,
31: UF/UL,32: UF/UB,33: UF/UR,34: UF/FR,35: UF/DR
(U') S' R U R' U R U R' S,R U R' S R2 S' R2,(U') R U' R' U R U R' S R2' S' R2,R' U' R U R U' R U R',R D' R U' R' D U R'
(U') R U' R' U R' U' R U R U' R U R',R U' R' U2 R' U' R' U R,(U) R' U2 R U2 R U' R U' R' U R U' R',,(U) S R2' S' R2 U' R U R'
R' U2 R U2 R U R U' R2 U' R U R,R U2 R' U R U' R2 U' R2 U R,(U) R' U' R2 U' R' U R U' R' U R U R,,R' U' R U D' R U' R' D R
DR edge at UL,,,,
,,,,
36: UL/UF,37: UL/UB,38: UL/UR,39: UL/FR,40: UL/DR
(U) R U R2 U2' R' U2 R2 U R' ,(U') R' U2 R U R U R,(U') R' U' R S R2' S' R2 U R,(U') R' U2 R' U R U R,(U') R' U' R U R
(U') R' U2' R2 U R U R,S R2' S' R3 U R',(U') R' U R U2 R2 U2 R' U' R,(U2) R U2 R' U R' U' R U R2 U R',
R D' R U2' R' U D R' ,S R2 S' R' U R',R' U2 R U2 R U R U' R' U R U R',(U2) B' U' R2 U R2' f z',
(U') R' U' R S' U2 S U' R,,,(U2) f' r' F2 r U2' f,
DR edge at UB,,,,
,,,,
41: UB/UF,42: UB/UL,43: UB/UR,44: UB/FR,45: UB/DR
(U') R' U2 R2 U R' U R2 U' R',R D' R U R' U D R' ,(U') R U' R2' U2 R U R U R,(U2) R' U' R U R2 U' R' U' R U R',(U') R U' R2 U' R U R
(U2) R' U' R2 U' R' U2 R2 U R',(U2) R' U' R U R U2 R U R',,(U) R U R' U R' U2' R U R U R,(U) R U R' U R' U' R U R
,,,,
DR edge at UR,,,,
,,,,
46: UR/UF,47: UR/UL,48: UR/UB,49: UR/FR,50: UR/DR
R' U2 R2 U2 R2 U' R',R' U2' R U R' U' R U2 R2 U' R',R U R' S' U2 S,(U) R' U' R2 U' R' U2 R2 U' R',(U') R U2' R2' U' R U R
(U2) R U2 R2 U2' R' U2 R2 U' R',(U2) S' U2 S U' R' U' R U R,R U2' R2' U' R2 U R,,
,S R2' S' R2 U' R' U' R U R,(U2) R' U2 R U2 R2 U' R',,
,(U2) R U' R' U R' U2 R U2 R2 U' R',,,
DR edge at FR,,,,
,,,,
51: FR/UF,52: FR/UL,53: FR/UB,54: FR/UR,55: FR/DR
(U2) R' U2 R' U2 R2 U R',(U') R U R2' U2' R U R U R,R U R' U' S' U2 S,(U2) R' U2 R U R U' R' U R U R,(U') R U R2 U' R U R
(U) R U' R' U2 R' U' R U R2 U R',(U) R' U' R' U R2 U R',R U2' R' S R2' S' R3 U' R',,(U2) R U' R' U2 R' U' R U R
,,R U' R' U2 R' U' R U R2 U' R',,
DR edge at DR,,,,
,,,,
56: DR/UF,57: DR/UL,58: DR/UB,59: DR/UR,60: DR/FR
R2 D R' U2 R D' R' U R',(U2) R U' R' U' R U R',R U R',(U') R U' R' U R U R',(U') R U2 R' U R U R'
R' D' R U2 R' D R2 U R',(U') R U R' U R U R',,,(U) R U R' U2 R U R'
(U) R U' R' U' R U R' U' R U R',,,,(U') R' D' R U R' D R
