,,,,,
,Antisune set,,Number of known algs :,,0/72
,,,,,
,COLL set,Images,3x3 algorithm ,OH algorithm,Progress
,As1: 2GLL,,"L' U' L U' L' U2 L
[U2] R' U' R U' R' U2 R",Same as the 2nd one,FALSE
,,,[U'] R U2 R' U' R U' R' ,Same,FALSE
,,,"[U2] R' F2 R D R' D' F2 U' R2 U R' U' R2
[U] R2' D' R U2 R' D R U R' F R U R U' R' F' R
[U2] R2' U' S R2 S' R2' U R U' R U' R' U2 R
R U R' U R' U' R2 U R2' U2 R S R2 S'",[U'] R U' R2 U' R U' R' U2 R' U2 R' U' R U' R2,FALSE
,,,[U2] R' U' R2 U R2' U R2 U2 R2' U2 R,"R U R2 U' R' U' R U R' U' R2 U2 R
[U] R' U2 R U2 R U2 R' U' R U' R2 U2 R
[U2] R' U' R2 U R2 U R2 U2 R2 U2 R",FALSE
,,,[U2] R U2 R2' U2 R2 U R2' U R2 U' R',"[U'] R U2 R2 U' R' U R U' R' U' R2 U R
[U2] R U2 R2 U' R U' R' U2 R U2 R U2 R'
[U2] R U2 R2 U2 R2 U R2 U R2 U' R'",FALSE
,,,"R U R' U R' U' R2 U' R2' U2 R
[U'] R U2 R2' U' R2 U' R' U R' U R","R U R' U R' U' R2 U' R2 U2 R
[U'] R U2 R2 U' R2 U' R' U R' U R",FALSE
,,,"[U2] R' U' R U' R U R' U' R' U2 R U R U' R'
[U'] R' U' R U R U2 R' U' R' U R U' R U' R'","Same as the 1st one
Same as the last one",FALSE
,,,[U'] R U R' U' R' U' R U R U' R' U' R' U R,Same,FALSE
,,,"S' l' U' L U' L' U2 l U2 S
[U'] R' U' R U R U2 R' U' R U' R' U R' U R
R' U R U R' U2 R U2 R' U' R U2 R' U' R","Same as the 2nd one
Same as the last one",FALSE
,,,"[U'] R2 U' R' U R U R' U2 R' U R2 U R2'
[U'] R U R' U' R U R2' U' R2 U' R' U R U' R' U R' U R","[U] R' U' R U' R U R2 U R U' R U R' U' R U' R'
[U2] R2 U R2 U R' U' R2 U R2 U' R U' R2",FALSE
,,,R U R' U R' U' R U' R' U2 R U R U' R',Same,FALSE
