,,,,,
,H set,,Number of known algs :,,0/72
,,,,,
,COLL set,Images,3x3 algorithm ,OH algorithm ,Progress
,H1: 2GLL,,"R U R' U R U' R' U R U' R' U R' U' R2 U' R' U R' U R
[U] S R' U2' R U R' U' R U2 R U R U' R' U S'","[U] R U' R U R U R U' R' U' R U2 R U R' U' R U R' U R
R U R' U R U' R' U R U2 R U' R' U' R U R U R U' R",FALSE
,,,R U R' U R U2 R' U' R' U2 R U R' U R,R' U' R U' R' U2 R U R U2 R' U' R U' R',FALSE
,,,[U'] R U2 R' U' R U R' U' R U' R',Same ,FALSE
,,,"[U'] R' U2 R U R' U' R U R' U R
[U] L' U2 L U L' U' L U L' U L",Same as the 1st one,FALSE
,,,[U2] R U R' U R U' R' U R U2 R',Same ,FALSE
,,,"R' U' R U' R' U R U' R' U2 R
[U2] L' U' L U' L' U L U' L' U2 L",Same as the 1st one,FALSE
,,,[U] R U2 R' U' R U' R' U' R' U' R U' R' U2 R,Same ,FALSE
,,,[U] R' U2 R U R' U R U R U R' U R U2 R',Same ,FALSE
,H2: Diag ,,"[U] F U R U' R' U R U' R' U R U' R' F'
[U] F R U R' U' R U R' U' R U R' U' F' ",Same as the 2nd one,FALSE
,,,"F R' F R F' R U2 R' F R' F' R F'
x' U' R U' R' U R' F2 R U' R U R' U x
x' U L' U L U2 R U' R' U R' F2 R","R' U L U' R U R' z U' R U R' D R U'
R U2 R' U' R U' R2 U' R U' F U' R' U' R U F'
x' U' R U' R' U R' F2' R U' R U R' U",FALSE
,,,"[U'] R U R' U y' R' U R U' R2' F R F' R
[U2] f R f' U R' U R U' R2' F R F' R
[U'] R U R' U R U2 R2' U' R U R' F' R U R' U' R' F R2","[U'] R U R' U y' R' U R U' R2 F R F' R
[U'] R U R' U R U2 R2 U' R U' F U' R' U' R U F'",FALSE
,,,"[U'] R' U' R U' y R U' R' U (l R) U' R' U l'
[U2] R' F R' F' R2 U R' U' R U' f R' f' 
F' U' F U' R U' R' U (l R) U' R' U l'",[U'] R' U' R U' y R U' R' U x' R2 U' R' U R',FALSE
