,,,,,,
,L set,,Number of known algs :,,0/72,
,,,,,,
,COLL set,Images,3x3 algorithm ,OH algorithm ,Progress,
,L1: 2GLL,,"[U'] R' U' R' F D' R U R' D R2 U' R' F' R
[U2] R U2 R' U2 R' U' R U R U' R' U2 R' U2 R
[U2] R U R' U' r' F R F' R' F R F' r U R'
[U'] R' U2 R U R U' R' U R' U R2 U' R' U' R U R'","[U2] R U2 R' U2 R' U' R U' R' U2 R U2 R U R'
[U] R' U2 R U2 R U R' U R U2 R' U2 R' U' R
Same as the 2nd one",FALSE,
,,,"[U2] R U R' U R U' R' U R U' R' U R U2 R'
[U2] R U2 R' U' R U R' U' R U R' U' R U' R'",Same as the 2nd one,FALSE,
,,,R U2 R' U' R U' R' U2 R U R' U R U2 R',Same,FALSE,"
"
,,,R U R' U R U2 R' U2 R U2 R' U' R U' R'  ,Same,FALSE,
,,,R U R' U R U2 R' U R' U' R U' R' U2 R,Same,FALSE,
,,,R2 U' R U R U' R' U' R U' R' U R' U R2,Same,FALSE,
,,,"[U'] R' U' R U' R' U2 R U' R U R' U R U2 R'
[U] L' U' L U' L' U2 L U' L U L' U L U2 L'",Same as the 1st one,FALSE,
,,,"[U'] R2 U R' U' R' U R U R' U R U' R U' R2
 [U] L2 U L' U' L' U L U L' U L U' L U' L2","[U] R' U2 R' U' R2 U' R U R' U' R U2 R U' R
Same as the 1st one",FALSE,
,,,R U2 R' U' R U' R' U R' U2 R U R' U R,Same,FALSE,
,,,[U2] R2 U R' U R' U' R U' R' U' R U R U' R2,Same,FALSE,
,,,"[U'] R' U2 R U R' U R U' R U2 R' U' R U' R'
[U] L' U2 L U L' U L U' L U2 L' U' L U' L'",Same as the 1st one,FALSE,
,,,"[U] R2 U' R U' R U R' U R U R' U' R' U R2
[U'] L2 U' L U' L U L' U L U L' U' L' U L2
[U] R U R' U R U' R' U R U2 R2 U' R U' R' U2 R",Same as the 1st one,FALSE,
,L2: Diag,,"F R U R2 F R F' R U' R' F'
[U'] F R U R' F R' F' R2 U' R' F'",[U'] F R U R' U' R U' R' U2 R U2 R' U' F',FALSE,
