,,,,,
,Pi set,,Number of known algs :,,0/72
,,,,,
,COLL set,Images,3x3 algorithm ,OH algorithm,Progress
,Pi1: 2GLL,,"R U R2' U' R2 U' R2' U2 R2 U' R' U R U2 R'
[U2] R U' R' U R U' R' U' R U' R' U2 R U R' U R U' R'
[U'] R' U2 R U R' U' R2 U2 R2' U' R2 U' R2' U R","R U R' U' R' U' R U R U R' U' R' U R U' R U' R'
R U R2 U' R2 U' R2' U2 R2 U' R' U R U2 R'",FALSE
,,,"[U] R U R' U R U2 R' U R U R' U R U2 R' 
[U'] R' U' R U' R' U2 R U' R' U' R U' R' U2 R","R U2 R' U' R U' R' U' R U2 R' U' R U' R'
R' U2 R U R' U R U R' U2 R U R' U R
Same as the last one",FALSE
,,,"R' U2 R2 U R2' U R2 U2 R'
[U2] L' U2 L2 U L2 U L2 U2 L'","R' U2 R2 U R2 U R2 U2 R'
[U2] z U' R2 U2 R U2 R U2 R2 U'",FALSE
,,,R U2 R2' U' R2 U' R2' U2 R,R U2 R2 U' R2 U' R2 U2 R,FALSE
,,,"[U] R U2 R' U' R U' R2 U' R U' R' U2 R
[U'] R' U' R U' R' U2 R2 U2 R' U' R U' R'",Same,FALSE
,,,"[U] R U R' U R U2 R2 U2 R U R' U R
[U'] R' U2 R U R' U R2 U R' U R U2 R'",Same,FALSE
,,,"R U R' U' R' U2 R U R' U R2 U2 R'
[U2] F U R U' R' S U R U' R' f'
f R U R' U' S' R U R' U' F'","R' U' R U' R' U2 R U R' U' R U' R' U2 R
Same as the 1st one",FALSE
,,,R U R' U R U2 R' U' R U R' U R U2 R',"Same 
R' U' R U R U2 R' U' R U' R2 U2 R
[U] R U2 R' U' R U' R' U R U2 R' U' R U' R'",FALSE
,,,[U] R' U2 R U2 R' U R U2 R' U R U2 R' U' R,"Same as the 1st one
R' U' R U R U R' U' R' U' R U R' U R U' R U' R'",FALSE
,,,"[U'] R U2 R' U2 R U' R' U2 R U' R' U2 R U R'
[U2] R U2 R' U2 R' F D' R U R' D R2 U' R' F'","Same as the 1st one
R U R' U' R' U' R U R U R' U' R U' R' U R' U R",FALSE
