,,,,,
,Sune set,,Number of known algs :,,0/72
,,,,,
,COLL set,Images,3x3 algorithm ,OH algorithm,Progress
,S1: 2GLL,,R U R' U R U2 R',Same,FALSE
,,,"[U'] R' U2 R U R' U R
[U] L' U2 L U L' U L",Same as the 1st one,FALSE
,,,"R U R' U R U2 R' U R U R' U R' U' R2 U' R' U R' U R
R U' R' S R2 S' R' U2 R2 U' R2 U R
R U R2 U' R2 U2 R' S R2 S' R' U' R
R2 U' S' U2 S U' R3 U R' U R U2 R'","[U'] R' U2 R U R U' R' U R U R U R' U' R U R
[U'] R' U R2 U R' U R U2 R U2 R U R' U R2",FALSE
,,,R U R2' U' R2 U' R2' U2 R2 U2 R',"R U R2 U' R2 U' R2 U2 R2 U2 R'
[U2] R' U' R2 U R U R' U' R U R2 U2 R'",FALSE
,,,R' U2 R2 U2 R2' U' R2 U' R2' U R,"R' U2 R2 U2 R2 U' R2 U' R2 U R
R' U2' R2 U R' U' R' U2' R U2 R U2' R'
[U'] R' U2 R2 U R U' R' U R U R2 U' R'
R' U2 R2 U R' U R U2 R' U2 R' U2 R",FALSE
,,,"[U'] R' U2 R2 U R2' U R U' R U' R'
L' U' L U' L U L2 U L2 U2 L'
[U2] R' U' R U' R U R2' U R2 U2 R'","z U' R' U R' U R U2 R U2 R2 U'
 [U'] R' U2 R2 U R2 U R U' R U' R'",FALSE
,,,[U'] R U R' U' R' U2 R U R U' R' U R' U R,Same,FALSE
,,,"[U'] R' U' R U R U R' U' R' U R U R U' R'
R' F' U' F U R F U R U' R' F'",Same as the 1st one,FALSE
,,,"S r U R' U R U2 r' U2 S'
[U'] R U R' U' R' U2 R U R' U R U' R U' R'
[U2] R U' R' U' R U2 R' U2 R U R' U2 R U R'","Same as the 2nd one
Same as the last one",FALSE
,,,R U R2' F' R U2 R U' R' U' R' F R2 U' R',[U'] R2 U R U' R' U' R U2 R U' R2 U' R2,FALSE
,,,"[U'] R2 U R' U' R' U' R U2 R' U' R2 U' R2'
[U] S l' U2 L U L' U l U2 S'
[U'] S' U2 l' U2 L U L' U l S","R U R' U R U R U R U R U' R' U' R2
[U2] R' U' R U' R U R' U R U2 R' U' R' U R",FALSE
