,,,,,
,U set,,Number of known algs :,,0/72
,,,,,
,COLL set,Images,3x3 algorithm,OH algorithm,Progress
,U1: 2GLL,,"[U] R' F' R U R' U' R' F D' R U R' D R2
[U] R U2 R' U' R U' R' U2 R' U2 R U R' U R","Same as the 2nd one 
[U] R U2 R' U' R U' R' z U' R2 U R U' R U
[U] R' U2 R U' R U2 R' U2 R' U' R U R U' R'",FALSE
,,,"[U2] (l' R') D2 R U R' D2 R2 D' R' U' R D
(l R) D2 R' U' R D2 R2' D R U R' D'
[U2] R' U' R U R U' R' U' R' U R U' R U' R' U2 R U R'
R U R' U' R U' R U2 R2' U' R U R' U' R2 U' R2'","R U R' U' R U' R U2 R2 U' R U R' U' R2 U' R2
Same as the 3rd one",FALSE
,,,"[U2] R U R' U R U2 R2 U' R U' R' U2 R
L U L' U L U2 L2 U' L U' L' U2 L",Same as the 1st one,FALSE
,,,R' U' R U' R' U2 R2 U R' U R U2 R',Same ,FALSE
,,,"[U'] R' U' R U R' U R U2 R' U R U2 R' U' R
[U2] R U R' U R U2 R' U R U2 R' U' R U' R'
F' R U R' U' R' F R U' R' F R f' R U R' S","Same as the 1st one
Same as the 2nd one",FALSE
,,,[U'] R U R' U' R U' R' U2 R U' R' U2 R U R',Same,FALSE
,,,[U] R U2 R' U' R U' R' U' R U R' U R U2 R',Same,FALSE
,,,"[U] R' U2 R U R' U R U R' U' R U' R' U2 R
[U'] L' U2 L U L' U L U L' U' L U' L' U2 L",Same as the 1st one,FALSE
,,,[U] R U2 R2' U' R2 U' R' U R' U' R U R' U R,"[U] R U2 R2 U' R2 U' R' U R' U' R U R' U R
[U] R' U R' U' R' U R U R' U2 R U2 R U' R",FALSE
,,,"[U] R' U2 R2 U R2' U R U' R U R' U' R U' R'
[U'] L' U2 L2 U L2' U L U' L U L' U' L U' L'
[U2] R' U' R U R U' R' U' R U' R' U R' U R2 U R' ","[U] R U' R U R U' R' U' R U2 R' U2 R' U R'
[U] R' U2 R2 U R2 U R U' R U R' U' R U' R'",FALSE
